name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
punjab,2022-11-04T00:00:00,22.2,22.2,8.3,40.92,0,0,,0,0,5.4,5.4,47.1,1012,2,24.1,0,,0,10,Clear,clear-night,remote
punjab,2022-11-04T01:00:00,21.8,21.8,8.2,41.65,0,0,,0,0,5,5,42.4,1012,5,24.1,0,,0,10,Clear,clear-night,remote
punjab,2022-11-04T02:00:00,21.5,21.5,8.1,42.13,0,0,,0,0,5.4,5.4,45.1,1012,5,24.1,0,,0,10,Clear,clear-night,remote
punjab,2022-11-04T03:00:00,21,21,8.1,43.45,0,0,,0,0,6.8,6.8,65.8,1012,65.6,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,remote
punjab,2022-11-04T04:00:00,20.3,20.3,8.2,45.67,0,0,,0,0,7.9,7.9,85,1012,100,24.1,0,,0,10,Overcast,cloudy,remote
punjab,2022-11-04T05:00:00,19.8,19.8,8.4,47.75,0,0,,0,0,6.1,6.1,100.4,1012,36.8,24.1,0,,0,10,Partially cloudy,partly-cloudy-night,remote
punjab,2022-11-04T06:00:00,19.3,19.3,8.6,49.93,0,0,,0,0,4.3,4.7,95.3,1012,99.8,24.1,0,,0,10,Overcast,cloudy,remote
punjab,2022-11-04T07:00:00,19.2,19.2,8.7,50.58,0,0,,0,0,5,5.4,104.3,1013,81.3,24.1,0,,0,10,Partially cloudy,partly-cloudy-day,remote
punjab,2022-11-04T08:00:00,19.9,19.9,9.4,50.77,0,0,,0,0,5.8,5.8,117,1013,5.8,24.1,23,0.1,0,10,Clear,clear-day,remote
punjab,2022-11-04T09:00:00,22.5,22.5,9.6,43.87,0,0,,0,0,6.8,6.5,123.2,1014,100,24.1,175,0.6,2,10,Overcast,cloudy,remote
punjab,2022-11-04T10:00:00,24.7,24.7,9.5,38.16,0,0,,0,0,5.8,6.5,124.2,1015,99.5,24.1,333,1.2,3,10,Overcast,cloudy,remote
punjab,2022-11-04T11:00:00,27,26.5,9.4,33.08,0,0,,0,0,4.3,6.5,114.1,1014,95.4,24.1,494,1.8,5,10,Overcast,cloudy,remote
punjab,2022-11-04T12:00:00,29.1,27.9,9.2,28.87,0,0,,0,0,2.2,4,123,1014,100,24.1,596,2.1,6,10,Overcast,cloudy,
punjab,2022-11-04T13:00:00,30.3,28.7,8.7,26.05,0,0,,0,0,2.2,0.7,8.9,1013,99.3,24.1,598,2.2,6,10,Overcast,cloudy,
punjab,2022-11-04T14:00:00,31,29.3,8.4,24.52,0,0,,0,0,5.8,4,321,1012,100,24.1,584,2.1,6,10,Overcast,cloudy,
punjab,2022-11-04T15:00:00,31.1,29.3,7.9,23.57,0,0,,0,0,7.2,5,328.5,1011,11.6,24.1,497,1.8,5,10,Clear,clear-day,
punjab,2022-11-04T16:00:00,31,29.2,7.6,23.23,0,0,,0,0,7.2,5.8,333.2,1011,59.6,24.1,421,1.5,4,10,Partially cloudy,partly-cloudy-day,
punjab,2022-11-04T17:00:00,30.4,28.8,8.6,25.73,0,0,,0,0,6.1,5.4,358.4,1011,69.5,24.1,229,0.8,2,10,Partially cloudy,partly-cloudy-day,
punjab,2022-11-04T18:00:00,27.2,26.5,8.3,30.35,0,0,,0,0,8.3,8.3,35.8,1012,28.6,24.1,57,0.2,0,10,Partially cloudy,partly-cloudy-night,
punjab,2022-11-04T19:00:00,25.5,25.5,8.3,33.55,0,0,,0,0,11.2,10.8,58.6,1012,17.7,24.1,0,,0,10,Clear,clear-night,
